subject,relation,object,domain,weight,entity_type_subject,entity_type_object
端午节,commemorates,屈原,festival,1.0,event_practice,historical_actor
端午节,embodies,集体记忆,festival,1.0,event_practice,cultural_concept
端午节,embodies,爱国主义,festival,0.9,event_practice,value_orientation
端午节,originated_in,战国时期,festival,1.0,event_practice,spatiotemporal_context
端午节,associated_with,龙舟竞渡,festival,1.0,event_practice,event_practice
端午节,associated_with,粽子,festival,1.0,event_practice,cultural_concept
端午节,belongs_to,中国传统节庆,festival,1.0,event_practice,cultural_concept
端午节,reinforces,社区认同,festival,0.9,event_practice,value_orientation
端午节,transfers_to,文化认同教育,festival,0.8,event_practice,cultural_concept
端午节,contrasts_with,现代娱乐节日,festival,0.7,event_practice,cultural_concept
龙舟竞渡,embodies,集体协作精神,festival,1.0,event_practice,value_orientation
龙舟竞渡,reinforces,团队精神,festival,0.9,event_practice,value_orientation
龙舟竞渡,associated_with,端午节,festival,1.0,event_practice,event_practice
屈原,associated_with,爱国主义,festival,1.0,historical_actor,value_orientation
屈原,associated_with,楚辞,festival,1.0,historical_actor,cultural_concept
屈原,occurred_in,战国时期,festival,1.0,historical_actor,spatiotemporal_context
粽子,associated_with,端午节,festival,1.0,cultural_concept,event_practice
粽子,embodies,饮食文化传承,festival,0.8,cultural_concept,cultural_concept
非物质文化遗产,includes,端午节,heritage,1.0,cultural_concept,event_practice
集体记忆,transfers_to,社区认同,memory,1.0,cultural_concept,value_orientation
集体记忆,reinforces,文化认同,memory,0.9,cultural_concept,cultural_concept
集体记忆,embodies,共同历史经历,memory,0.9,cultural_concept,cultural_concept
爱国主义,reinforces,民族认同,value,0.9,value_orientation,value_orientation
社区认同,transfers_to,文化认同,identity,0.9,value_orientation,cultural_concept
社区认同,reinforces,集体主义价值观,identity,0.9,value_orientation,value_orientation
社区参与,transfers_to,共同认同,community,0.9,cultural_concept,value_orientation
节庆文化,embodies,文化传承,festival,1.0,cultural_concept,cultural_concept
节庆文化,reinforces,集体记忆,festival,0.9,cultural_concept,cultural_concept
春节,embodies,家庭团聚,festival,1.0,event_practice,value_orientation
春节,reinforces,孝道,festival,1.0,event_practice,cultural_concept
春节,associated_with,除夕,festival,1.0,event_practice,event_practice
春节,associated_with,年夜饭,festival,1.0,event_practice,event_practice
春节,associated_with,拜年,festival,1.0,event_practice,event_practice
春节,associated_with,红包,festival,1.0,event_practice,cultural_concept
春节,originated_in,上古时期,festival,0.8,event_practice,spatiotemporal_context
春节,transfers_to,海外华人文化传承,festival,0.9,event_practice,cultural_concept
春节,contrasts_with,西方圣诞节,festival,0.7,event_practice,event_practice
春节,embodies,辞旧迎新,festival,0.9,event_practice,cultural_concept
年夜饭,reinforces,家庭团聚,festival,1.0,event_practice,value_orientation
年夜饭,embodies,饮食文化,festival,0.9,event_practice,cultural_concept
拜年,embodies,尊老敬长,festival,1.0,event_practice,value_orientation
拜年,reinforces,礼仪规范,festival,0.9,event_practice,cultural_concept
红包,embodies,祝福与庇护,festival,0.9,cultural_concept,value_orientation
红包,transfers_to,数字红包文化,festival,0.8,cultural_concept,cultural_concept
除夕,embodies,辞旧迎新,festival,1.0,event_practice,cultural_concept
除夕,associated_with,守岁,festival,1.0,event_practice,event_practice
春联,embodies,美好祝愿,festival,0.9,cultural_concept,value_orientation
舞龙舞狮,embodies,驱邪纳福,festival,0.9,event_practice,value_orientation
家庭团聚,reinforces,孝道,family,1.0,value_orientation,cultural_concept
非物质文化遗产,includes,春节,heritage,1.0,cultural_concept,event_practice
中秋节,embodies,家庭团聚,festival,1.0,event_practice,value_orientation
中秋节,associated_with,嫦娥,festival,1.0,event_practice,historical_actor
中秋节,associated_with,月饼,festival,1.0,event_practice,cultural_concept
中秋节,embodies,思乡情感,festival,0.9,event_practice,value_orientation
中秋节,reinforces,集体记忆,festival,0.9,event_practice,cultural_concept
中秋节,originated_in,唐代,festival,0.9,event_practice,spatiotemporal_context
中秋节,contrasts_with,万圣节,festival,0.7,event_practice,event_practice
中秋节,transfers_to,现代节日消费文化,festival,0.7,event_practice,cultural_concept
月饼,embodies,团圆象征,festival,1.0,cultural_concept,value_orientation
月饼,associated_with,中秋节,festival,1.0,cultural_concept,event_practice
嫦娥,associated_with,月亮神话,mythology,1.0,historical_actor,cultural_concept
嫦娥,embodies,牺牲精神,mythology,0.8,historical_actor,value_orientation
赏月,associated_with,中秋节,festival,1.0,event_practice,event_practice
赏月,embodies,自然与人的和谐,festival,0.9,event_practice,value_orientation
思乡情感,reinforces,文化认同,emotion,0.9,value_orientation,cultural_concept
形式调整,contrasts_with,仪式僵化,change,0.8,cultural_concept,cultural_concept
文化现代化,challenges,传统仪式,change,0.8,cultural_concept,event_practice
非物质文化遗产,includes,中秋节,heritage,1.0,cultural_concept,event_practice
清明节,embodies,慎终追远,festival,1.0,event_practice,value_orientation
清明节,associated_with,祭祖,festival,1.0,event_practice,event_practice
清明节,associated_with,扫墓,festival,1.0,event_practice,event_practice
清明节,associated_with,踏青,festival,1.0,event_practice,event_practice
清明节,reinforces,孝道,festival,1.0,event_practice,cultural_concept
清明节,reinforces,祖先崇拜,festival,1.0,event_practice,cultural_concept
清明节,originated_in,周代,festival,0.9,event_practice,spatiotemporal_context
清明节,transfers_to,现代网络祭祀,festival,0.7,event_practice,cultural_concept
扫墓,embodies,孝道,ritual,1.0,event_practice,cultural_concept
扫墓,reinforces,家族记忆,ritual,0.9,event_practice,cultural_concept
踏青,embodies,天人合一,nature,0.9,event_practice,value_orientation
踏青,associated_with,自然崇拜,nature,0.8,event_practice,cultural_concept
祖先崇拜,reinforces,孝道,religion,1.0,cultural_concept,cultural_concept
祖先崇拜,embodies,生死观,religion,0.9,cultural_concept,value_orientation
家族记忆,transfers_to,集体记忆,memory,0.9,cultural_concept,cultural_concept
家族记忆,reinforces,家族认同,family,1.0,cultural_concept,value_orientation
慎终追远,interprets,孝道,value,1.0,value_orientation,cultural_concept
慎终追远,reinforces,祖先崇拜,value,0.9,value_orientation,cultural_concept
非物质文化遗产,includes,清明节,heritage,1.0,cultural_concept,event_practice
孝道,embodies,尊老敬长,value,1.0,cultural_concept,value_orientation
孝道,interprets,社会等级秩序,value,0.9,cultural_concept,cultural_concept
孝道,reinforces,家庭和谐,value,1.0,cultural_concept,value_orientation
孝道,originated_in,儒家思想,value,1.0,cultural_concept,cultural_concept
孝道,contrasts_with,个人主义,value,0.8,cultural_concept,value_orientation
孝道,transfers_to,现代家庭伦理,value,0.8,cultural_concept,cultural_concept
孝道,reinforces,社会稳定,value,0.9,cultural_concept,value_orientation
尊老敬长,interprets,代际关系,value,0.9,value_orientation,cultural_concept
家庭和谐,reinforces,社会和谐,family,0.9,value_orientation,value_orientation
个人主义,contrasts_with,集体主义,value,1.0,value_orientation,value_orientation
儒家思想,interprets,孝道,philosophy,1.0,cultural_concept,cultural_concept
儒家思想,reinforces,社会等级秩序,philosophy,0.9,cultural_concept,cultural_concept
儒家思想,embodies,仁义礼智信,philosophy,1.0,cultural_concept,value_orientation
儒家思想,originated_in,春秋时期,philosophy,1.0,cultural_concept,spatiotemporal_context
儒家思想,transfers_to,现代教育价值观,philosophy,0.8,cultural_concept,cultural_concept
儒家思想,contrasts_with,道家思想,philosophy,0.8,cultural_concept,cultural_concept
孔子,associated_with,儒家思想,philosophy,1.0,historical_actor,cultural_concept
孔子,embodies,仁义,philosophy,1.0,historical_actor,value_orientation
孔子,occurred_in,春秋时期,philosophy,1.0,historical_actor,spatiotemporal_context
礼仪,interprets,社会等级秩序,ritual,1.0,cultural_concept,cultural_concept
礼仪,reinforces,社会秩序,ritual,0.9,cultural_concept,value_orientation
礼仪,embodies,尊重与秩序,ritual,1.0,cultural_concept,value_orientation
礼仪,originated_in,儒家思想,ritual,1.0,cultural_concept,cultural_concept
礼仪,contrasts_with,非正式交往,ritual,0.7,cultural_concept,cultural_concept
礼仪,transfers_to,现代职场礼仪,ritual,0.8,cultural_concept,cultural_concept
问候礼仪,embodies,尊重,ritual,1.0,event_practice,value_orientation
问候礼仪,contrasts_with,西方握手礼,ritual,0.7,event_practice,event_practice
鞠躬礼,embodies,谦逊与尊重,ritual,1.0,event_practice,value_orientation
祭祀礼仪,reinforces,祖先崇拜,ritual,1.0,event_practice,cultural_concept
仁义礼智信,interprets,儒家伦理体系,philosophy,1.0,value_orientation,cultural_concept
成人礼,embodies,社会责任,lifecycle,1.0,event_practice,value_orientation
成人礼,embodies,身份转换,lifecycle,1.0,event_practice,cultural_concept
成人礼,reinforces,社会价值观,lifecycle,0.9,event_practice,value_orientation
成人礼,occurs_in,现代校园,lifecycle,0.9,event_practice,spatiotemporal_context
成人礼,originated_in,古代冠礼,lifecycle,1.0,event_practice,event_practice
成人礼,transfers_to,现代公民意识,lifecycle,0.8,event_practice,cultural_concept
身份转换,associated_with,成人礼,lifecycle,1.0,cultural_concept,event_practice
社会责任,reinforces,公民意识,value,0.9,value_orientation,value_orientation
祭祖,embodies,孝道,ritual,1.0,event_practice,cultural_concept
祭祖,reinforces,家族认同,ritual,1.0,event_practice,value_orientation
祭祖,belongs_to,家族仪式,ritual,1.0,event_practice,cultural_concept
祭祖,practiced_by,家族成员,ritual,1.0,event_practice,historical_actor
祭祖,reinforces,祖先崇拜,ritual,1.0,event_practice,cultural_concept
祭祖,transfers_to,现代祭祀文化,ritual,0.8,event_practice,cultural_concept
家族仪式,reinforces,家族凝聚力,family,1.0,cultural_concept,value_orientation
家族认同,transfers_to,民族认同,identity,0.8,value_orientation,value_orientation
婚礼,embodies,家族联合,lifecycle,1.0,event_practice,value_orientation
婚礼,reinforces,社会规范,lifecycle,0.9,event_practice,cultural_concept
婚礼,associated_with,嫁妆,lifecycle,0.9,event_practice,cultural_concept
婚礼,contrasts_with,现代自由婚姻观,lifecycle,0.7,event_practice,value_orientation
婚礼,transfers_to,现代婚礼仪式,lifecycle,0.8,event_practice,event_practice
文化认同,reinforces,民族凝聚力,identity,1.0,cultural_concept,value_orientation
文化认同,transfers_to,文化教育,identity,0.9,cultural_concept,cultural_concept
文化认同,contrasts_with,文化同质化,identity,0.8,cultural_concept,cultural_concept
文化认同,embodies,归属感,identity,1.0,cultural_concept,value_orientation
文化认同,reinforces,文化自信,identity,0.9,cultural_concept,value_orientation
文化自信,reinforces,民族自豪感,value,0.9,value_orientation,value_orientation
文化自信,transfers_to,文化软实力,value,0.8,value_orientation,cultural_concept
归属感,reinforces,社区认同,emotion,0.9,value_orientation,value_orientation
文化教育,reinforces,文化认同,education,1.0,cultural_concept,cultural_concept
文化教育,transfers_to,跨文化理解,education,0.8,cultural_concept,cultural_concept
文化教育,embodies,文化传承使命,education,0.9,cultural_concept,value_orientation
学校教育,reinforces,文化认同,education,0.9,event_practice,cultural_concept
学校教育,transfers_to,公民素养,education,0.8,event_practice,cultural_concept
文化传承,reinforces,集体记忆,heritage,1.0,cultural_concept,cultural_concept
文化传承,embodies,历史责任感,heritage,0.9,cultural_concept,value_orientation
文化传承,contrasts_with,文化断层,heritage,0.8,cultural_concept,cultural_concept
跨文化理解,reinforces,文化包容性,education,0.9,cultural_concept,value_orientation
跨文化理解,transfers_to,全球化适应力,education,0.8,cultural_concept,value_orientation
道家思想,embodies,天人合一,philosophy,1.0,cultural_concept,value_orientation
道家思想,contrasts_with,儒家思想,philosophy,0.8,cultural_concept,cultural_concept
道家思想,originated_in,春秋时期,philosophy,1.0,cultural_concept,spatiotemporal_context
天人合一,reinforces,自然崇拜,philosophy,0.9,value_orientation,cultural_concept
天人合一,transfers_to,生态文明观,philosophy,0.7,value_orientation,cultural_concept
佛教,associated_with,超度仪式,religion,0.9,cultural_concept,event_practice
佛教,reinforces,慈悲精神,religion,1.0,cultural_concept,value_orientation
民俗文化,embodies,地方认同,folk,1.0,cultural_concept,value_orientation
民俗文化,reinforces,社区凝聚力,folk,0.9,cultural_concept,value_orientation
民俗文化,contrasts_with,精英文化,folk,0.7,cultural_concept,cultural_concept
饮食文化,embodies,地域文化差异,food,0.9,cultural_concept,cultural_concept
饮食文化,transfers_to,文化外交,food,0.8,cultural_concept,cultural_concept
饮食文化,reinforces,家庭凝聚力,food,0.9,cultural_concept,value_orientation
茶文化,embodies,礼仪与谦让,teahouse,1.0,cultural_concept,value_orientation
茶文化,reinforces,社交礼仪,teahouse,0.9,cultural_concept,cultural_concept
书法,embodies,文化修养,art,1.0,cultural_concept,value_orientation
书法,reinforces,民族文化自信,art,0.9,cultural_concept,value_orientation
国画,embodies,写意精神,art,1.0,cultural_concept,value_orientation
戏曲,embodies,传统叙事文化,art,1.0,cultural_concept,cultural_concept
戏曲,reinforces,道德教化,art,0.9,cultural_concept,value_orientation
诗词,embodies,情感与自然联结,literature,1.0,cultural_concept,value_orientation
诗词,reinforces,文化记忆,literature,0.9,cultural_concept,cultural_concept
神话传说,embodies,文化价值观,mythology,1.0,cultural_concept,value_orientation
神话传说,reinforces,民族记忆,mythology,0.9,cultural_concept,cultural_concept
民族服饰,embodies,地域文化认同,folk,1.0,cultural_concept,value_orientation
民族服饰,reinforces,少数民族文化,folk,0.9,cultural_concept,cultural_concept
少数民族文化,reinforces,文化多样性,diversity,1.0,cultural_concept,value_orientation
少数民族文化,contrasts_with,汉族主流文化,diversity,0.7,cultural_concept,cultural_concept
文化多样性,reinforces,包容精神,value,0.9,value_orientation,value_orientation
文化多样性,transfers_to,多元文化教育,value,0.8,value_orientation,cultural_concept
文化冲突,contrasts_with,文化融合,change,0.8,cultural_concept,cultural_concept
文化融合,reinforces,文化创新,change,0.9,cultural_concept,value_orientation
全球化,challenges,传统文化价值观,change,0.8,cultural_concept,value_orientation
全球化,transfers_to,跨文化交流,change,0.8,cultural_concept,cultural_concept
价值冲突,contrasts_with,价值和谐,conflict,0.8,cultural_concept,value_orientation
价值冲突,transfers_to,道德教育,conflict,0.8,cultural_concept,cultural_concept
传统与现代,contrasts_with,文化断裂,change,0.8,cultural_concept,cultural_concept
传统与现代,transfers_to,文化创造性转化,change,0.8,cultural_concept,cultural_concept
现代校园,associated_with,文化教育活动,education,0.9,spatiotemporal_context,event_practice
现代校园,reinforces,公民培育,education,0.8,spatiotemporal_context,cultural_concept
农村社区,reinforces,传统文化保存,community,0.9,spatiotemporal_context,cultural_concept
明代,associated_with,礼制完备,history,0.9,spatiotemporal_context,cultural_concept
唐代,associated_with,诗歌文化鼎盛,history,0.9,spatiotemporal_context,cultural_concept
春秋时期,associated_with,百家争鸣,history,1.0,spatiotemporal_context,cultural_concept
集体主义,reinforces,社区凝聚力,value,1.0,value_orientation,value_orientation
集体主义,contrasts_with,个人主义,value,1.0,value_orientation,value_orientation
和谐,reinforces,社会稳定,value,1.0,value_orientation,value_orientation
和谐,embodies,中庸之道,value,1.0,value_orientation,cultural_concept
中庸之道,interprets,平衡与适度,philosophy,1.0,cultural_concept,value_orientation
中庸之道,reinforces,和谐,philosophy,1.0,cultural_concept,value_orientation
面子文化,embodies,社会声誉管理,social,1.0,cultural_concept,value_orientation
面子文化,reinforces,礼仪规范,social,0.9,cultural_concept,cultural_concept
人情社会,embodies,关系网络,social,1.0,cultural_concept,cultural_concept
人情社会,reinforces,面子文化,social,0.9,cultural_concept,cultural_concept
节气文化,embodies,天人合一,agriculture,1.0,cultural_concept,value_orientation
节气文化,reinforces,农业文明传统,agriculture,0.9,cultural_concept,cultural_concept
民间故事,embodies,道德教化,folk,1.0,cultural_concept,value_orientation
民间故事,reinforces,文化价值观传递,folk,0.9,cultural_concept,cultural_concept
家训,embodies,家族价值传承,family,1.0,cultural_concept,value_orientation
家训,reinforces,孝道,family,1.0,cultural_concept,cultural_concept
家训,transfers_to,现代家庭教育,family,0.8,cultural_concept,cultural_concept
族谱,embodies,家族记忆,family,1.0,cultural_concept,cultural_concept
族谱,reinforces,家族认同,family,1.0,cultural_concept,value_orientation
花木兰,embodies,忠孝两全,mythology,1.0,historical_actor,value_orientation
花木兰,contrasts_with,传统性别角色,mythology,0.8,historical_actor,value_orientation
花木兰,transfers_to,现代女性独立精神,mythology,0.8,historical_actor,value_orientation
王昭君,embodies,国家利益高于个人,history,1.0,historical_actor,value_orientation
王昭君,associated_with,和亲外交,history,1.0,historical_actor,event_practice
和亲外交,interprets,文化交流策略,history,0.9,event_practice,cultural_concept
民族融合,reinforces,文化多样性,diversity,0.9,cultural_concept,value_orientation
中华民族共同体意识,reinforces,文化认同,identity,1.0,cultural_concept,cultural_concept
中华民族共同体意识,embodies,多元一体,identity,1.0,cultural_concept,value_orientation
丝绸之路,embodies,文明交流互鉴,history,1.0,event_practice,value_orientation
科举制度,embodies,社会流动机制,history,1.0,event_practice,cultural_concept
科举制度,reinforces,儒家价值观,history,1.0,event_practice,cultural_concept
科举制度,contrasts_with,现代高考制度,history,0.7,event_practice,event_practice
宗族制度,reinforces,家族认同,social,1.0,cultural_concept,value_orientation
待客之道,embodies,热情好客,ritual,1.0,cultural_concept,value_orientation
待客之道,reinforces,礼仪规范,ritual,0.9,cultural_concept,cultural_concept
孟子,associated_with,儒家思想,philosophy,1.0,historical_actor,cultural_concept
孟子,embodies,民本思想,philosophy,1.0,historical_actor,value_orientation
仁义,reinforces,孝道,philosophy,0.9,value_orientation,cultural_concept
传统手工艺,embodies,工匠精神,craft,1.0,cultural_concept,value_orientation
工匠精神,reinforces,精益求精,value,1.0,value_orientation,value_orientation
礼物文化,embodies,社会关系维护,social,0.9,cultural_concept,value_orientation
礼物文化,reinforces,人情社会,social,0.9,cultural_concept,cultural_concept
纸钱,associated_with,祭祖,ritual,0.9,cultural_concept,event_practice
纸钱,embodies,对逝者的孝敬,ritual,0.9,cultural_concept,value_orientation
重阳节,embodies,尊老敬老,festival,1.0,event_practice,value_orientation
重阳节,associated_with,登高习俗,festival,1.0,event_practice,event_practice
重阳节,reinforces,孝道,festival,1.0,event_practice,cultural_concept
七夕,embodies,爱情与忠贞,festival,1.0,event_practice,value_orientation
七夕,associated_with,牛郎织女神话,festival,1.0,event_practice,cultural_concept
七夕,transfers_to,现代情人节文化,festival,0.7,event_practice,event_practice
元宵节,embodies,团圆与欢庆,festival,1.0,event_practice,value_orientation
元宵节,associated_with,猜灯谜,festival,1.0,event_practice,event_practice
元宵节,reinforces,社区凝聚力,festival,0.9,event_practice,value_orientation
博物馆,reinforces,文化传承,institution,1.0,event_practice,cultural_concept
博物馆,transfers_to,文化教育功能,institution,0.9,event_practice,cultural_concept
博物馆,embodies,文化展示功能,institution,0.9,event_practice,cultural_concept
传统手工艺,reinforces,文化传承,craft,1.0,cultural_concept,cultural_concept
传统手工艺,transfers_to,现代设计美学,craft,0.7,cultural_concept,cultural_concept
工匠精神,transfers_to,现代职业精神,value,0.9,value_orientation,value_orientation
道德教育,reinforces,价值观培养,education,1.0,event_practice,value_orientation
道德教育,transfers_to,公民品格培育,education,0.9,event_practice,cultural_concept
多元文化教育,reinforces,文化包容性,education,1.0,event_practice,value_orientation
多元文化教育,transfers_to,跨文化能力,education,0.9,event_practice,cultural_concept
文化遗址,embodies,历史记忆,heritage,1.0,cultural_concept,cultural_concept
文化遗址,reinforces,文化认同,heritage,0.9,cultural_concept,cultural_concept
历史记忆,reinforces,文化认同,memory,1.0,cultural_concept,cultural_concept
历史记忆,embodies,民族苦难与辉煌,memory,0.9,cultural_concept,value_orientation
口述传统,embodies,文化记忆载体,folk,1.0,cultural_concept,cultural_concept
口述传统,reinforces,社区知识传承,folk,0.9,cultural_concept,cultural_concept
社会规范,reinforces,社会秩序,social,1.0,cultural_concept,value_orientation
社会规范,interprets,道德约束机制,social,0.9,cultural_concept,cultural_concept
社会规范,contrasts_with,法律制度,social,0.7,cultural_concept,cultural_concept
文化象征,embodies,隐性知识传递,semiotics,1.0,cultural_concept,cultural_concept
文化象征,reinforces,集体记忆,semiotics,0.9,cultural_concept,cultural_concept
民本思想,reinforces,仁政,philosophy,1.0,value_orientation,cultural_concept
仁政,interprets,儒家政治理想,philosophy,1.0,cultural_concept,cultural_concept
传统节庆活动,embodies,文化象征意义,festival,1.0,event_practice,cultural_concept
传统节庆活动,reinforces,社区凝聚力,festival,0.9,event_practice,value_orientation
传统节庆活动,transfers_to,现代文化活动,festival,0.8,event_practice,event_practice
科举制度,embodies,知识精英选拔,history,0.9,event_practice,cultural_concept
丝绸之路,reinforces,文化交流互鉴,history,1.0,event_practice,value_orientation
民族融合,transfers_to,中华民族共同体意识,diversity,0.8,cultural_concept,cultural_concept
家族凝聚力,reinforces,社区认同,family,0.9,value_orientation,value_orientation
生死观,reinforces,祖先崇拜,philosophy,0.9,value_orientation,cultural_concept
生死观,transfers_to,清明祭扫文化,philosophy,0.8,value_orientation,event_practice
地方认同,reinforces,文化认同,identity,0.9,value_orientation,cultural_concept
地方认同,contrasts_with,普世价值观,identity,0.7,value_orientation,value_orientation
文化包容性,reinforces,跨文化理解,value,0.9,value_orientation,cultural_concept
民族自豪感,reinforces,文化自信,value,0.9,value_orientation,value_orientation
文化软实力,reinforces,国际影响力,value,0.8,cultural_concept,value_orientation
公民意识,reinforces,社会责任,education,0.9,cultural_concept,value_orientation
公民意识,transfers_to,民主素养,education,0.8,cultural_concept,value_orientation
多元一体,reinforces,文化多样性,identity,1.0,value_orientation,value_orientation
多元一体,embodies,中华民族共同体,identity,1.0,value_orientation,cultural_concept
精益求精,reinforces,工匠精神,value,1.0,value_orientation,value_orientation
精益求精,transfers_to,产品质量文化,value,0.8,value_orientation,cultural_concept
仪式感,embodies,文化意义构建,ritual,1.0,cultural_concept,cultural_concept
仪式感,reinforces,集体认同,ritual,0.9,cultural_concept,value_orientation
象征符号,embodies,文化编码系统,semiotics,1.0,cultural_concept,cultural_concept
象征符号,reinforces,文化记忆传承,semiotics,0.9,cultural_concept,cultural_concept
